NOM_PROV,NATCODE,MUNICIPIO_NOMBRE,A_PRIM_DET_OFICIAL,A_PRIM_DET_CITSCI,QUIEN FUE ANTES,METH,Year
Araba/Álava,34160101055,Valdegovía/Gaubea,0,2023,-2023,CITS,año_2023
Albacete,34080202009,Almansa,0,2023,-2023,CITS,año_2023
Albacete,34080202037,Hellín,0,2023,-2023,CITS,año_2023
Albacete,34080202045,Madrigueras,0,2023,-2023,CITS,año_2023
Albacete,34080202079,Villamalea,0,2023,-2023,CITS,año_2023
Albacete,34080202082,Villatoya,0,2023,-2023,CITS,año_2023
Alicante/Alacant,34100303042,"Poble Nou de Benitatxell, el/Benitachell",0,2023,-2023,CITS,año_2023
Alicante/Alacant,34100303075,"Castell de Guadalest, el",0,2023,-2023,CITS,año_2023
Almería,34010404022,Bédar,0,2023,-2023,CITS,año_2023
Almería,34010404029,Berja,0,2023,-2023,CITS,año_2023
Almería,34010404041,Enix,0,2023,-2023,CITS,año_2023
Barcelona,34090808016,Bagà,0,2023,-2023,CITS,año_2023
Barcelona,34090808237,Sant Quirze de Besora,0,2023,-2023,CITS,año_2023
Cádiz,34011111005,Algodonales,0,2023,-2023,CITS,año_2023
Cádiz,34011111010,Bornos,0,2023,-2023,CITS,año_2023
Cádiz,34011111012,Cádiz,0,2023,-2023,CITS,año_2023
Cádiz,34011111016,Chipiona,0,2023,-2023,CITS,año_2023
Cádiz,34011111031,San Fernando,0,2023,-2023,CITS,año_2023
Córdoba,34011414024,Encinas Reales,0,2023,-2023,CITS,año_2023
Córdoba,34011414049,Palma del Río,0,2023,-2023,CITS,año_2023
Cuenca,34081616202,Talayuelas,0,2023,-2023,CITS,año_2023
Granada,34011818007,Albuñuelas,0,2023,-2023,CITS,año_2023
Granada,34011818011,Alfacar,0,2023,-2023,CITS,año_2023
Granada,34011818047,Cenes de la Vega,0,2023,-2023,CITS,año_2023
Granada,34011818062,Churriana de la Vega,0,2023,-2023,CITS,año_2023
Granada,34011818071,Dúrcal,0,2023,-2023,CITS,año_2023
Granada,34011818905,"Gabias, Las",0,2023,-2023,CITS,año_2023
Granada,34011818127,Maracena,0,2023,-2023,CITS,año_2023
Granada,34011818147,Órgiva,0,2023,-2023,CITS,año_2023
Granada,34011818149,Villa de Otura,0,2023,-2023,CITS,año_2023
Guadalajara,34081919124,Fuentenovilla,0,2023,-2023,CITS,año_2023
Gipuzkoa,34162020903,Astigarraga,0,2023,-2023,CITS,año_2023
Huelva,34012121002,Aljaraque,0,2023,-2023,CITS,año_2023
Huelva,34012121021,Cartaya,0,2023,-2023,CITS,año_2023
Huelva,34012121042,Isla Cristina,0,2023,-2023,CITS,año_2023
Huelva,34012121050,Moguer,0,2023,-2023,CITS,año_2023
Huelva,34012121055,Palos de la Frontera,0,2023,-2023,CITS,año_2023
Huelva,34012121060,Punta Umbría,0,2023,-2023,CITS,año_2023
Huesca,34022222019,Alerre,0,2023,-2023,CITS,año_2023
Huesca,34022222025,Altorricón,0,2023,-2023,CITS,año_2023
Huesca,34022222076,Canal de Berdún,0,2023,-2023,CITS,año_2023
Huesca,34022222117,Graus,0,2023,-2023,CITS,año_2023
Huesca,34022222201,Salas Altas,0,2023,-2023,CITS,año_2023
Huesca,34022222225,Tamarite de Litera,0,2023,-2023,CITS,año_2023
Lleida,34092525019,Almacelles,0,2023,-2023,CITS,año_2023
Lleida,34092525097,Fulleda,0,2023,-2023,CITS,año_2023
Lleida,34092525182,Puigverd de Lleida,0,2023,-2023,CITS,año_2023
Madrid,34132828047,Collado Villalba,0,2023,-2023,CITS,año_2023
Madrid,34132828065,Getafe,0,2023,-2023,CITS,año_2023
Madrid,34132828172,Villalbilla,0,2023,-2023,CITS,año_2023
Madrid,34132828181,Villaviciosa de Odón,0,2023,-2023,CITS,año_2023
Málaga,34012929015,Antequera,0,2023,-2023,CITS,año_2023
Málaga,34012929050,Cútar,0,2023,-2023,CITS,año_2023
Málaga,34012929073,Monda,0,2023,-2023,CITS,año_2023
Málaga,34012929084,Ronda,0,2023,-2023,CITS,año_2023
Navarra,34153131193,Cendea de Olza/Oltza Zendea,0,2023,-2023,CITS,año_2023
Navarra,34153131221,Doneztebe/Santesteban,0,2023,-2023,CITS,año_2023
Navarra,34153131098,Esteribar,0,2023,-2023,CITS,año_2023
Navarra,34153131101,Ezcabarte,0,2023,-2023,CITS,año_2023
Navarra,34153131122,Huarte/Uharte,0,2023,-2023,CITS,año_2023
Navarra,34153131153,Lesaka,0,2023,-2023,CITS,año_2023
Navarra,34153131201,Pamplona/Iruña,0,2023,-2023,CITS,año_2023
Navarra,34153131216,Sangüesa/Zangoza,0,2023,-2023,CITS,año_2023
Pontevedra,34123636008,Cangas,0,2023,-2023,CITS,año_2023
